,Instrument,Date,Price Close,Price Open
0,AAPL.O,2024-12-05T00:00:00Z,243.04,243.99
1,AAPL.O,2024-12-04T00:00:00Z,243.01,242.87
2,AAPL.O,2024-12-03T00:00:00Z,242.65,239.81
3,AAPL.O,2024-12-02T00:00:00Z,239.59,237.27
4,AAPL.O,2024-11-29T00:00:00Z,237.33,234.805
5,AAPL.O,2024-11-27T00:00:00Z,234.93,234.465
6,AAPL.O,2024-11-26T00:00:00Z,235.06,233.33
7,AAPL.O,2024-11-25T00:00:00Z,232.87,231.46
8,AAPL.O,2024-11-22T00:00:00Z,229.87,228.06
9,AAPL.O,2024-11-21T00:00:00Z,228.52,228.88
10,AAPL.O,2024-11-20T00:00:00Z,229.0,228.06
11,AAPL.O,2024-11-19T00:00:00Z,228.28,226.98
12,AAPL.O,2024-11-18T00:00:00Z,228.02,225.25
13,AAPL.O,2024-11-15T00:00:00Z,225.0,226.4
14,AAPL.O,2024-11-14T00:00:00Z,228.22,225.02
15,AAPL.O,2024-11-13T00:00:00Z,225.12,224.01
16,AAPL.O,2024-11-12T00:00:00Z,224.23,224.55
17,AAPL.O,2024-11-11T00:00:00Z,224.23,225.0
18,AAPL.O,2024-11-08T00:00:00Z,226.96,227.17
19,AAPL.O,2024-11-07T00:00:00Z,227.48,224.625
20,AAPL.O,2024-11-06T00:00:00Z,222.72,222.61
21,AAPL.O,2024-11-05T00:00:00Z,223.45,221.795
22,AAPL.O,2024-11-04T00:00:00Z,222.01,220.99
23,AAPL.O,2024-11-01T00:00:00Z,222.91,220.965
24,AAPL.O,2024-10-31T00:00:00Z,225.91,229.34
25,AAPL.O,2024-10-30T00:00:00Z,230.1,232.61
