,instrument,date,52_week_total_return,price_open,price_close,pe,price_avg,log_returns,decile
1428,AAPL.O,2019-03-08T00:00:00Z,-2.46216843711242,42.58,43.2275,14.487932728,42.90375,-0.009106791476049873,3
1427,AAPL.O,2019-03-11T00:00:00Z,-0.049528920661857,43.8725,44.725,14.989828032,44.29875,0.031997225247575936,10
1426,AAPL.O,2019-03-12T00:00:00Z,2.05626962509973,45.0,45.2275,15.158243651,45.113749999999996,0.018230618142842405,10
1425,AAPL.O,2019-03-13T00:00:00Z,3.3865032298021,45.5625,45.4275,15.225274744,45.495000000000005,0.008415351717109464,8
1424,AAPL.O,2019-03-14T00:00:00Z,4.41293107304768,45.975,45.9325,15.394528252,45.95375,0.010033026109227608,8
1423,AAPL.O,2019-03-15T00:00:00Z,6.14547383515189,46.2125,46.53,15.59478364,46.37125,0.009044199206473825,8
1422,AAPL.O,2019-03-18T00:00:00Z,8.89285016012673,46.45,47.005,15.753982485,46.727500000000006,0.007653201333840387,7
1421,AAPL.O,2019-03-19T00:00:00Z,8.06689630227264,47.0875,46.6325,15.629137075,46.86,0.0028315766214535762,6
1420,AAPL.O,2019-03-20T00:00:00Z,11.5380993270146,46.5575,47.04,15.765712926,46.79875,-0.001307939914460441,4
1419,AAPL.O,2019-03-21T00:00:00Z,17.3035557126193,47.505,48.7725,16.346369764,48.13875,0.028230972919919686,10
1418,AAPL.O,2019-03-22T00:00:00Z,17.5975529438301,48.835,47.7625,16.007862747,48.29875,0.0033182143213428875,6
1417,AAPL.O,2019-03-25T00:00:00Z,10.9105478140438,47.8775,47.185,15.814310468,47.53125,-0.01601829094688557,2
1416,AAPL.O,2019-03-26T00:00:00Z,12.6531998657828,47.916,46.6975,15.65092218,47.306749999999994,-0.004734398012152193,4
1415,AAPL.O,2019-03-27T00:00:00Z,14.9363486816304,47.1875,47.1175,15.791687474,47.1525,-0.0032659615042252015,4
1414,AAPL.O,2019-03-28T00:00:00Z,14.1970725115517,47.2375,47.18,15.812634691,47.208749999999995,0.001192226823252688,5
1413,AAPL.O,2019-03-29T00:00:00Z,14.9413624606159,47.4575,47.4875,15.915694995,47.4725,0.005571339250993155,7
1412,AAPL.O,2019-04-01T00:00:00Z,16.4856630709253,47.91,47.81,16.023782632,47.86,0.008129486462792601,8
1411,AAPL.O,2019-04-02T00:00:00Z,16.9788738799393,47.7725,48.505,16.256715678,48.13875,0.005807383604881678,7
1410,AAPL.O,2019-04-03T00:00:00Z,15.5707834005463,48.3125,48.8375,16.368154869,48.575,0.009021529178394844,8
1409,AAPL.O,2019-04-04T00:00:00Z,14.9746584251889,48.6975,48.9225,16.396643083,48.81,0.004826214635552384,7
1408,AAPL.O,2019-04-05T00:00:00Z,18.7826346514702,49.1125,49.25,16.506406497,49.18125,0.007577243402100305,7
1407,AAPL.O,2019-04-08T00:00:00Z,19.4669249724977,49.105,50.025,16.76615198,49.565,0.007772486183704353,7
1406,AAPL.O,2019-04-09T00:00:00Z,16.908715714499,50.08,49.875,16.71587866,49.9775,0.008287964662899935,8
1405,AAPL.O,2019-04-10T00:00:00Z,18.1172819904713,49.67,50.155,16.80972219,49.9125,-0.0013014317584210907,4
1404,AAPL.O,2019-04-11T00:00:00Z,15.9905576149203,50.2125,49.7375,16.669794784,49.974999999999994,0.0012514079971238704,5
1403,AAPL.O,2019-04-12T00:00:00Z,15.5524158637838,49.8,49.7175,16.663091675,49.75875,-0.004336552849844769,4
1402,AAPL.O,2019-04-15T00:00:00Z,15.0439254942863,49.645,49.8075,16.693255667,49.72625,-0.0006533648521112828,5
1401,AAPL.O,2019-04-16T00:00:00Z,13.493343246085,49.865,49.8125,16.694931444,49.838750000000005,0.0022598312233536536,6
1400,AAPL.O,2019-04-17T00:00:00Z,15.9636433942892,49.885,50.7825,17.020032242,50.333749999999995,0.009883032350385124,8
1399,AAPL.O,2019-04-18T00:00:00Z,19.7748166309871,50.78,50.965,17.081198114,50.8725,0.010646676247961069,8
1398,AAPL.O,2019-04-22T00:00:00Z,25.6663684764491,50.7075,51.1325,17.137336654,50.92,0.0009332711829985259,5
1397,AAPL.O,2019-04-23T00:00:00Z,29.2783380228781,51.1075,51.87,17.384513807,51.488749999999996,0.011107563515608578,8
1396,AAPL.O,2019-04-24T00:00:00Z,28.5189372488442,51.84,51.79,17.35770137,51.815,0.006316345431366334,7
1395,AAPL.O,2019-04-25T00:00:00Z,26.9105786112429,51.7075,51.32,17.200178303,51.51375,-0.005830920310793099,3
1394,AAPL.O,2019-04-26T00:00:00Z,27.7831428627078,51.225,51.075,17.118065215,51.150000000000006,-0.007086269927751953,3
1393,AAPL.O,2019-04-29T00:00:00Z,25.7003074327564,51.1,51.1525,17.144039763,51.12625,-0.0004644284558125812,5
1392,AAPL.O,2019-04-30T00:00:00Z,20.4803099106406,50.765,50.1675,16.813911633,50.46625,-0.012993267915436327,2
1391,AAPL.O,2019-05-01T00:00:00Z,21.0469015519061,52.47,52.63,17.639231958,52.55,0.040460301296573305,10
1390,AAPL.O,2019-05-02T00:00:00Z,20.0416123055734,52.46,52.2875,17.926384827,52.37375,-0.0033595857139128173,4
1389,AAPL.O,2019-05-03T00:00:00Z,16.9457018689393,52.7225,52.9375,18.149232547,52.83,0.008673699567177026,8
1388,AAPL.O,2019-05-06T00:00:00Z,14.3126938181504,51.0725,52.12,17.868958684,51.59625,-0.02363021574822561,1
1387,AAPL.O,2019-05-07T00:00:00Z,10.6990718828418,51.47,50.715,17.387264767,51.0925,-0.00981128002744479,2
1386,AAPL.O,2019-05-08T00:00:00Z,9.94675151234317,50.475,50.725,17.390693194,50.6,-0.009686139107134164,2
1385,AAPL.O,2019-05-09T00:00:00Z,7.23161810831676,50.1,50.18,17.203843952,50.14,-0.009132483563272587,3
1384,AAPL.O,2019-05-10T00:00:00Z,6.153970595752,49.35475,49.295,16.90042821,49.324875000000006,-0.016390575036539432,2
1383,AAPL.O,2019-05-13T00:00:00Z,0.218175905665596,46.9275,46.43,15.918184031,46.67875,-0.05513948869720187,1
1382,AAPL.O,2019-05-14T00:00:00Z,2.73839511424008,46.6025,47.165,16.170173376,46.88375,0.004382104540780956,6
1381,AAPL.O,2019-05-15T00:00:00Z,3.00777418566036,46.5675,47.73,16.36387947,47.14875,0.005636364056176554,7
1380,AAPL.O,2019-05-16T00:00:00Z,3.20722074279449,47.4775,47.52,16.291882515,47.49875,0.007395897311491825,7
1379,AAPL.O,2019-05-17T00:00:00Z,2.99536470746022,46.7325,47.25,16.199315,46.99125,-0.010741980739387943,2
1378,AAPL.O,2019-05-20T00:00:00Z,-0.927211329815425,45.88,45.7725,15.692764992,45.82625,-0.02510434312487585,1
1377,AAPL.O,2019-05-21T00:00:00Z,1.22566635122485,46.305,46.65,15.993609413,46.4775,0.014111253481643526,9
1376,AAPL.O,2019-05-22T00:00:00Z,-1.47826922833363,46.165,45.695,15.666194687,45.93,-0.01184982618453306,2
1375,AAPL.O,2019-05-23T00:00:00Z,-3.05191964687226,44.95,44.915,15.398777423,44.932500000000005,-0.021957134693649318,1
1374,AAPL.O,2019-05-24T00:00:00Z,-3.64446920908189,45.05,44.7425,15.339637067,44.896249999999995,-0.0008070913147020606,5
1373,AAPL.O,2019-05-28T00:00:00Z,-3.69561361272405,44.73,44.5575,15.276211177,44.64375,-0.005639952408205207,3
1372,AAPL.O,2019-05-29T00:00:00Z,-3.95043110306302,44.105,44.345,15.203357115,44.224999999999994,-0.009424079875296617,3
1371,AAPL.O,2019-05-30T00:00:00Z,-3.12676585917989,44.4875,44.575,15.282210924,44.53125,0.006900949857175531,7
1370,AAPL.O,2019-05-31T00:00:00Z,-6.5666466857806,44.0575,43.7675,15.005365487,43.912499999999994,-0.013992172311079075,2
1369,AAPL.O,2019-06-03T00:00:00Z,-8.27788143299849,43.9,43.325,14.853657617,43.6125,-0.006855211079052857,3
1368,AAPL.O,2019-06-04T00:00:00Z,-5.65024711957374,43.86,44.91,15.39706321,44.385,0.01755776800739022,9
1367,AAPL.O,2019-06-05T00:00:00Z,-4.45826301787433,46.07,45.635,15.645624128,45.8525,0.03252814832276793,10
1366,AAPL.O,2019-06-06T00:00:00Z,-2.79497017069368,45.77,46.305,15.8753287,46.0375,0.004026558928133211,6
1365,AAPL.O,2019-06-07T00:00:00Z,0.70853035070988,46.6275,47.5375,16.297882261,47.082499999999996,0.022445100315581484,10
1364,AAPL.O,2019-06-10T00:00:00Z,2.2462052828649,47.9525,48.145,16.506159168,48.04875,0.020314738422993476,10
1363,AAPL.O,2019-06-11T00:00:00Z,2.86536568418587,48.715,48.7025,16.697293943,48.70875,0.013642564897707968,9
1362,AAPL.O,2019-06-12T00:00:00Z,3.38754196948334,48.4875,48.5475,16.644153333,48.5175,-0.003934127803353365,4
1361,AAPL.O,2019-06-13T00:00:00Z,3.31207062626784,48.675,48.5375,16.640724906,48.60625,0.0018275658570033866,6
1360,AAPL.O,2019-06-14T00:00:00Z,3.62627911684603,47.88625,48.185,16.519872874,48.035624999999996,-0.01180920033816786,2
1359,AAPL.O,2019-06-17T00:00:00Z,4.29980617736929,48.225,48.4725,16.618440135,48.348749999999995,0.00649744528807143,7
1358,AAPL.O,2019-06-18T00:00:00Z,8.50621852822084,49.0125,49.6125,17.00928075,49.3125,0.019737230195073143,10
1357,AAPL.O,2019-06-19T00:00:00Z,7.71920984714791,49.92,49.4675,16.959568567,49.69375,0.0077015720615635245,7
1356,AAPL.O,2019-06-20T00:00:00Z,9.19370465375051,50.0925,49.865,17.095848518,49.978750000000005,0.005718744422392958,7
1355,AAPL.O,2019-06-21T00:00:00Z,9.13921932688573,49.7,49.695,17.037565269,49.697500000000005,-0.005643285063510061,3
1354,AAPL.O,2019-06-24T00:00:00Z,10.6752953154696,49.635,49.645,17.020423136,49.64,-0.0011576696901329142,5
1353,AAPL.O,2019-06-25T00:00:00Z,7.66206635302975,49.6075,48.8925,16.762434046,49.25,-0.007887592718308604,3
1352,AAPL.O,2019-06-26T00:00:00Z,10.151957422297,49.4425,49.95,17.124990143,49.696250000000006,0.009020109921488145,8
