,Instrument,Date,52 Week Total Return,Price Open,Price Close,P/E (Daily Time Series Ratio)
0,AAPL.O,2024-11-07T00:00:00Z,25.3419745649383,224.625,227.48,37.476605951973
1,AAPL.O,2024-11-06T00:00:00Z,22.3971241782903,222.61,222.72,36.6924111026175
2,AAPL.O,2024-11-05T00:00:00Z,23.5209608665496,221.795,223.45,36.8126762790943
3,AAPL.O,2024-11-04T00:00:00Z,24.4984050848066,220.99,222.01,36.5754408624825
4,AAPL.O,2024-11-01T00:00:00Z,26.8287949011247,220.965,222.91,33.9392592164022
5,AAPL.O,2024-10-31T00:00:00Z,27.8697501772936,229.34,225.91,34.3960255241013
6,AAPL.O,2024-10-30T00:00:00Z,32.9364910246289,232.61,230.1,35.033975800521
7,AAPL.O,2024-10-29T00:00:00Z,37.5286994087288,233.1,233.67,35.577527706683
8,AAPL.O,2024-10-28T00:00:00Z,37.7569954510629,233.32,233.4,35.53641873899
9,AAPL.O,2024-10-25T00:00:00Z,38.2631507864131,229.74,231.41,35.2334304215496
10,AAPL.O,2024-10-24T00:00:00Z,38.8591302520895,229.98,230.57,35.1055358553939
11,AAPL.O,2024-10-23T00:00:00Z,35.5540434020927,234.08,230.76,35.1344643882148
12,AAPL.O,2024-10-22T00:00:00Z,36.6806341649948,233.885,235.86,35.9109671113033
13,AAPL.O,2024-10-21T00:00:00Z,37.3884643909127,234.45,236.48,36.0053654815611
14,AAPL.O,2024-10-18T00:00:00Z,36.6233922134697,236.18,235.0,35.7800274364295
15,AAPL.O,2024-10-17T00:00:00Z,32.9818954293999,233.43,232.15,35.3460994441154
16,AAPL.O,2024-10-16T00:00:00Z,32.4830260378302,231.6,231.78,35.2897649328325
17,AAPL.O,2024-10-15T00:00:00Z,32.6777730348044,233.61,233.85,35.6049336851449
18,AAPL.O,2024-10-14T00:00:00Z,30.0781743021061,228.7,231.3,35.2166823236007
19,AAPL.O,2024-10-11T00:00:00Z,27.8762379736273,229.3,227.55,34.6457244389768
20,AAPL.O,2024-10-10T00:00:00Z,27.3887584431831,227.78,229.04,34.8725850384673
21,AAPL.O,2024-10-09T00:00:00Z,28.3129960600922,225.23,229.54,34.9487127564172
22,AAPL.O,2024-10-08T00:00:00Z,27.2030964499042,224.3,225.77,34.3747097630753
23,AAPL.O,2024-10-07T00:00:00Z,24.4856499514969,224.5,221.69,33.7535075846045
24,AAPL.O,2024-10-04T00:00:00Z,28.4313703953036,227.9,226.8,34.531532862052
25,AAPL.O,2024-10-03T00:00:00Z,29.6764595800287,225.14,225.67,34.3594842194853
26,AAPL.O,2024-10-02T00:00:00Z,31.2522962422263,225.89,226.78,34.528487753334
27,AAPL.O,2024-10-01T00:00:00Z,31.879257718963,229.52,226.21,34.4417021548712
28,AAPL.O,2024-09-30T00:00:00Z,34.7823622012595,230.04,233.0,35.4755165646301
29,AAPL.O,2024-09-27T00:00:00Z,33.7234224351219,228.46,227.79,34.6822657435927
30,AAPL.O,2024-09-26T00:00:00Z,33.9718197451278,227.3,227.52,34.6411567758998
31,AAPL.O,2024-09-25T00:00:00Z,33.4980071564009,224.93,226.37,34.4660630246151
32,AAPL.O,2024-09-24T00:00:00Z,32.894706131299,228.645,227.37,34.6183184605148
33,AAPL.O,2024-09-23T00:00:00Z,29.2714458789389,227.34,226.47,34.4812885682051
34,AAPL.O,2024-09-20T00:00:00Z,31.220296130586,229.97,228.2,34.7446904723116
35,AAPL.O,2024-09-19T00:00:00Z,32.2562877369197,224.99,228.87,34.8467016143644
36,AAPL.O,2024-09-18T00:00:00Z,26.3956816811538,217.55,220.69,33.6012521487049
37,AAPL.O,2024-09-17T00:00:00Z,21.6797664742439,215.75,216.79,33.007455948696
38,AAPL.O,2024-09-16T00:00:00Z,22.1664150048721,216.54,216.32,32.9358958938232
39,AAPL.O,2024-09-13T00:00:00Z,27.7818308272556,223.58,222.5,33.8768344876833
40,AAPL.O,2024-09-12T00:00:00Z,27.4054595191961,222.5,222.77,33.9179434553762
41,AAPL.O,2024-09-11T00:00:00Z,28.4609353198861,221.455,222.66,33.9011953574272
42,AAPL.O,2024-09-10T00:00:00Z,25.4843072049492,218.92,220.11,33.512943995883
43,AAPL.O,2024-09-09T00:00:00Z,23.791759620891,220.82,220.91,33.6347483446028
44,AAPL.O,2024-09-06T00:00:00Z,24.5608051301659,223.95,220.82,33.6210453553718
45,AAPL.O,2024-09-05T00:00:00Z,25.8787858549812,221.625,222.38,33.8585638353753
